date_collected	species	sex	weigh_unit_g	plot	calibration	field_season
7/16/13	DM	F	NA	2	yes	2013
7/16/13	DM	M	33	7	yes	2013
7/16/13	DM	M	NA	3	yes	2013
7/16/13	DM	M	NA	1	yes	2013
7/18/13	DM	M	40	3	yes	2013
7/18/13	DM	M	48	7	yes	2013
7/18/13	DM	F	29	4	yes	2013
7/18/13	DM	F	37	6	yes	2013
8/19/13	DO	F	52	8	yes	2013
10/17/13	DO	F	33	3	yes	2013
10/17/13	DO	F	50	3	yes	2013
12/10/13	DO	F	20	9	yes	2013
12/10/13	DO	M	45	1	yes	2013
12/11/13	DO	F	41	8	yes	2013
11/12/13	DS	F	117	9	yes	2013
11/13/13	DS	F	126	11	yes	2013
11/13/13	DS	M	132	17	no	2013
11/13/13	DS	F	113	14	no	2013
11/13/13	DS	F	122	11	yes	2013
11/13/13	DS	F	107	4	yes	2013
11/13/13	DS	F	115	4	yes	2013
1/9/14	DM	M	40	1	yes	2014
1/9/14	DM	F	36	1	yes	2014
3/13/14	DM	F	51	1	yes	2014
3/13/14	DM	F	44	1	yes	2014
3/13/14	DS	F	146	1	yes	2014
1/8/14	NA	NA	NA	2	NA	2014
1/8/14	DM	M	44	2	yes	2014
1/8/14	PF	F	7	2	yes	2014
1/8/14	DM	M	45	2	yes	2014
1/8/14	OT	NA	NA	2	no	2014
1/8/14	DS	M	157	2	yes	2014
1/8/14	OX	NA	NA	2	NA	2014
2/18/14	NA	M	218	2	no	2014
2/18/14	PF	F	7	2	yes	2014
2/18/14	DM	M	52	2	yes	2014
3/11/14	PF	M	8	3	yes	2014
4/8/14	NA	F	NA	3	NA	2014
5/6/14	NA	F	NA	3	NA	2014
5/18/14	NA	F	182	3	yes	2014
6/9/14	OT	F	29	3	yes	2014
7/8/14	NA	F	115	3	yes	2014
7/9/14	NA	M	190	3	yes	2014
1/8/14	DM	F	37	4	yes	2014
1/8/14	DM	M	NA	4	no	2014
1/8/14	DM	F	48	4	yes	2014
1/8/14	DO	M	52	4	yes	2014
1/8/14	OL	M	35	4	yes	2014